color,colorLabel,hex
http://www.wikidata.org/entity/Q10931309,Q10931309,1E3124
http://www.wikidata.org/entity/Q1115352,Q1115352,98FF98
http://www.wikidata.org/entity/Q11273328,Q11273328,735340
http://www.wikidata.org/entity/Q11275076,Q11275076,767676
http://www.wikidata.org/entity/Q11277446,Q11277446,35271D
http://www.wikidata.org/entity/Q11277447,Q11277447,561E21
http://www.wikidata.org/entity/Q11277448,Q11277448,413027
http://www.wikidata.org/entity/Q11299443,Q11299443,ECE0D1
http://www.wikidata.org/entity/Q11299444,Q11299444,D6BC96
http://www.wikidata.org/entity/Q11299445,Q11299445,E0C37B
http://www.wikidata.org/entity/Q11299448,Q11299448,E2A665
http://www.wikidata.org/entity/Q11299450,Q11299450,CFAC84
http://www.wikidata.org/entity/Q11521543,Q11521543,E03625
http://www.wikidata.org/entity/Q11521544,Q11521544,B53D27
http://www.wikidata.org/entity/Q11521545,Q11521545,CA4F3C
http://www.wikidata.org/entity/Q11538290,Q11538290,8A604F
http://www.wikidata.org/entity/Q11559789,Q11559789,546C55
http://www.wikidata.org/entity/Q11567021,Q11567021,43625B
http://www.wikidata.org/entity/Q11567022,Q11567022,AAAAAA
http://www.wikidata.org/entity/Q11567023,Q11567023,C5C5C5
http://www.wikidata.org/entity/Q11579208,Q11579208,E7E7E8
http://www.wikidata.org/entity/Q115959703,Q115959703,007B39
http://www.wikidata.org/entity/Q115959703,Q115959703,007B39
http://www.wikidata.org/entity/Q11607727,Q11607727,246029
http://www.wikidata.org/entity/Q11607728,Q11607728,006157
http://www.wikidata.org/entity/Q11607730,Q11607730,354F33
http://www.wikidata.org/entity/Q11625224,Q11625224,973C3F
http://www.wikidata.org/entity/Q11635154,Q11635154,C32829
http://www.wikidata.org/entity/Q11635155,Q11635155,DD3355
http://www.wikidata.org/entity/Q11635156,Q11635156,88474B
http://www.wikidata.org/entity/Q11635157,Q11635157,B2152B
http://www.wikidata.org/entity/Q11635158,Q11635158,852B32
http://www.wikidata.org/entity/Q11635160,Q11635160,7A453D
http://www.wikidata.org/entity/Q11635162,Q11635162,563533
http://www.wikidata.org/entity/Q11660960,Q11660960,234059
http://www.wikidata.org/entity/Q11660961,Q11660961,003F6C
http://www.wikidata.org/entity/Q11660962,Q11660962,00859E
http://www.wikidata.org/entity/Q11660964,Q11660964,2A3444
http://www.wikidata.org/entity/Q11660965,Q11660965,324C51
http://www.wikidata.org/entity/Q11662688,Q11662688,009786
http://www.wikidata.org/entity/Q11662689,Q11662689,003835
http://www.wikidata.org/entity/Q11677708,Q11677708,E3B144
http://www.wikidata.org/entity/Q11677709,Q11677709,988054
http://www.wikidata.org/entity/Q11677710,Q11677710,CA6A1F
http://www.wikidata.org/entity/Q11677908,Q11677908,2A2A2A
http://www.wikidata.org/entity/Q117286085,Q117286085,004F8A
http://www.wikidata.org/entity/Q117286092,Q117286092,00ACD1
http://www.wikidata.org/entity/Q121347242,Q121347242,E31836
http://www.wikidata.org/entity/Q12901869,Q12901869,FF2400
http://www.wikidata.org/entity/Q18657380,Q18657380,C9780C
http://www.wikidata.org/entity/Q18657831,Q18657831,D3CBAF
http://www.wikidata.org/entity/Q18658385,Q18658385,B8DDC8
http://www.wikidata.org/entity/Q18659392,Q18659392,C7EDCC
http://www.wikidata.org/entity/Q20046295,Q20046295,90D7EC
http://www.wikidata.org/entity/Q24836976,Q24836976,625B57
http://www.wikidata.org/entity/Q3556227,Q3556227,A5D152
