"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"#FFFFFE","Q105883127","FFFFFE","General",TRUE
"Absolute Zero","Q125706334","0048BA","General",TRUE
"Air Force blue","Q1770362","5D8AA8","General",TRUE
"Amarillo selectivo","Q2293227","FFBA00","General",TRUE
"American beauty","Q131398740","A73340","General",TRUE
"Ayanami Blue","Q91417704","6DABE4","General",TRUE
"Azul YInMn","Q25112525","2E5090","General",TRUE
"Azul claro","Q4405716","99FF99","General",TRUE
"Baker-Miller Pink","Q4849102","FF91AF","General",TRUE
"Barbecho (color)","Q3738728","C19A6B","General",TRUE
"Berliner Blau","Q97528669","003153","General",TRUE
"Blue (CMYK) (pigment blue)","Q57305216","333399","General",TRUE
"Blue (Munsell)","Q57305337","0093AF","General",TRUE
"Blue (NCS)","Q57305302","0087BD","General",TRUE
"Blurple","Q111889906","5865F2","General",TRUE
"Bright Mango","Q112056389","FF8830","General",TRUE
"Buff","Q4985885","F0DC82","Pigmentary",TRUE
"Cambridge Blue","Q5025363","A3C1AD","General",TRUE
"Chifón de limón","Q3832523","FFFACD","General",TRUE
"Cinnamon","Q1148100","D2691E","Pigmentary",TRUE
"Cloudflare Orange 1","Q111960788","F6821F","General",TRUE
"Coyote brown","Q18349136","81613C","Pigmentary",TRUE
"Crudo (color)","Q1970335","CDB891","General",TRUE
"Dawn Red","Q11090565","E60039","General",TRUE
"Dodger blue","Q856862","1E90FF","General",TRUE
"Duke royal blue","Q89507824","00539B","General",TRUE
"Edo purple","Q97379214","745399","General",TRUE
"Eigengrau","Q492305","16161D","General",TRUE
"Emerald Green","Q691510","50C878","Iridescent",TRUE
"English red","Q26187774","AB4E52","General",TRUE
"Ericameria flower yellow","Q124302392","F9C647","General",TRUE
"Ericameria stem teal","Q124302510","BFD8D2","General",TRUE
"Erin","Q60785280","00FF40","General",TRUE
"FT pink","Q101786150","EBC7B2","General",TRUE
"Fiery Orange","Q1378330","FF9408","Glittering",TRUE
"Glittering Copper","Q5168705","AD6F69","Glittering",TRUE
"Golden Green","Q5579480","FFDF00","Iridescent",TRUE
"Gray21","Q12901657","363636","General",TRUE
"Gray22","Q106622682","383838","General",TRUE
"Green Legnano","Q4009896","B5D01F","General",TRUE
"Green No. 15","Q11607726","2E8B57","General",TRUE
"Grey-Asparagus","Q3776736","465945","Pigmentary",TRUE
"Hanada","Q30950539","267CA7","General",TRUE
"Hiwa-iro","Q11676208","CBC547","General",TRUE
"India green","Q24574924","138808","General",TRUE
"Iridescent Purple","Q211140","6A0DAD","Iridescent",TRUE
"Islamic green","Q111080140","009900","General",TRUE
"Israel blue","Q61927422","0038B8","General",TRUE
"Kintetsu maroon","Q18991864","9D0023","General",TRUE
"Kyō purple","Q11374716","772F6D","General",TRUE
"Light Carmine Pink","Q136457814","E66771","General",TRUE
"Madder","Q11617258","B13546","General",TRUE
"Mandarin orange","Q3844391","FFCC00","General",TRUE
"Marengo","Q4281308","4C5866","General",TRUE
"Marrs green","Q39046969","008C8C","General",TRUE
"Matsuzaki-Shigeru color","Q11278400","A54A5A","General",TRUE
"Mikado yellow","Q6845574","FFC40C","General",TRUE
"Morello","Q25343693","200042","General",TRUE
"NCS blue","Q69915238","0087BD","General",TRUE
"NCS green","Q69914710","009F6B","General",TRUE
"NCS red","Q69914380","C40233","General",TRUE
"NCS yellow","Q69914970","FFD300","General",TRUE
"Nymphenschenkelfarbe","Q3007035","FEE7F0","General",TRUE
"Orientrot","Q98148703","A7323E","General",TRUE
"Papaya whip","Q3894699","FFEFD5","General",TRUE
"Parma","Q3365600","CFA0E9","General",TRUE
"Persian Indigo","Q11144247","32127A","General",TRUE
"Persian green","Q5922149","00A693","General",TRUE
"Persimmon","Q8217074","EC5800","General",TRUE
"Pink","Q24239857","FFC0DB","General",TRUE
"Pizarra","Q1411452","708090","General",TRUE
"Princeton orange","Q103888297","E87722","General",TRUE
"Rebecca purple","Q84237818","663399","General",TRUE
"Reseda green","Q25349006","587246","General",TRUE
"Rojo pompeyano","Q3941700","A22E37","General",TRUE
"Rosa naranja","Q5402922","FF9966","General",TRUE
"Rosicler","Q11515057","F19072","General",TRUE
