"scientificName","canonicalName","key"
"Heliodoxa branickii (Taczanowski, 1874)","Heliodoxa branickii",2476944
"Heliodoxa xanthogonys Salvin & Godman, 1882","Heliodoxa xanthogonys",2476945
"Heliodoxa jacula Gould, 1850","Heliodoxa jacula",2476948
"Heliodoxa gularis (Gould, 1860)","Heliodoxa gularis",2476952
"Heliodoxa imperatrix (Gould, 1856)","Heliodoxa imperatrix",2476953
"Patagona gigas (Vieillot, 1824)","Patagona gigas",2476964
"Doryfera johannae (Bourcier, 1847)","Doryfera johannae",2476968
"Doryfera ludovicae (Bourcier & Mulsant, 1847)","Doryfera ludovicae",2476971
"Sternoclyta cyanopectus (Gould, 1846)","Sternoclyta cyanopectus",2476985
"Myrmia micrura (Gould, 1854)","Myrmia micrura",2476987
"Heliomaster constantii (Delattre, 1843)","Heliomaster constantii",2476989
"Heliomaster squamosus (Temminck, 1823)","Heliomaster squamosus",2476993
"Heliomaster longirostris (Audebert & Vieillot, 1801)","Heliomaster longirostris",2476994
"Heliomaster furcifer (Shaw, 1812)","Heliomaster furcifer",2476998
"Lophornis adorabilis Salvin, 1870","Lophornis adorabilis",2477000
"Lophornis chalybeus (Temminck, 1821)","Lophornis chalybeus",2477001
"Lophornis delattrei (R.Lesson, 1839)","Lophornis delattrei",2477005
"Lophornis gouldii (R.Lesson, 1832)","Lophornis gouldii",2477008
"Lophornis helenae (Delattre, 1843)","Lophornis helenae",2477009
"Lophornis stictolophus Salvin & D.G.Elliot, 1873","Lophornis stictolophus",2477010
"Lophornis ornatus (Boddaert, 1783)","Lophornis ornatus",2477011
"Lophornis brachylophus R.T.Moore, 1949","Lophornis brachylophus",2477012
"Lophornis pavoninus Salvin & Godman, 1882","Lophornis pavoninus",2477014
"Lophornis magnificus (Vieillot, 1817)","Lophornis magnificus",2477017
"Polytmus milleri (Chapman, 1929)","Polytmus milleri",2477019
"Polytmus guainumbi (Pallas, 1764)","Polytmus guainumbi",2477020
"Polytmus theresiae (Da Silva Maia, 1843)","Polytmus theresiae",2477024
"Coeligena violifer (Gould, 1846)","Coeligena violifer",2477028
"Coeligena bonapartei (Boissonneau, 1840)","Coeligena bonapartei",2477033
