"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated","search_name"
"Eulidia yarrellii","2023-10-21 08:29:00 -0300","","Chile",-18.9597858379,-69.912323952,"","Chilean Woodstar","https://www.inaturalist.org/observations/340212655","https://inaturalist-open-data.s3.amazonaws.com/photos/619041575/medium.jpg","eduardomunozfotografia",340212655,"Picaflor de Arica","Aves",6337,1,0,"2023/10/21 8:29 AM","2023-10-21","2023-10-21 11:29:00 UTC","Santiago",35309,35309,"obscured","obscured","true",NA,NA,1525318,"Eduardo Muñoz Orellana","2026-02-25 21:11:31 UTC","2026-02-26 17:40:05 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2023-10-16 23:49:00 -0300","","Chile",-18.9511651425,-70.0642867803,"","Chilean Woodstar","https://www.inaturalist.org/observations/328857237","https://static.inaturalist.org/photos/596002320/medium.jpg","estebanvillanueva",328857237,"Picaflor de Arica","Aves",6337,1,0,"2023/10/16 11:49 PM","2023-10-16","2023-10-17 02:49:00 UTC","Santiago",2816,30615,"","obscured","true",NA,NA,6698380,"Esteban Villanueva Ortiz / @aveslibreschile","2025-11-30 02:50:30 UTC","2026-01-17 18:52:46 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2018-02-15 19:25:00 -0300","","Chile",-18.4064763055,-70.1640711815,"","Chilean Woodstar","https://www.inaturalist.org/observations/255513409","https://inaturalist-open-data.s3.amazonaws.com/photos/457902617/medium.jpg","elecho",255513409,"Colibrí de Arica","Aves",6337,1,0,"2018/02/15 7:25 PM","2018-02-15","2018-02-15 22:25:00 UTC","Santiago",64,30649,"","obscured","true",NA,NA,6256315,"Ele Sq","2024-12-18 17:27:01 UTC","2025-04-24 16:05:11 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-11-20 08:27:00 -0300","","Arica, CL-AP, CL",-18.972478651,-70.1458032781,"","Chilean Woodstar","https://www.inaturalist.org/observations/254665139","https://inaturalist-open-data.s3.amazonaws.com/photos/456200177/medium.jpg","avocat",254665139,"Chilean Woodstar","Aves",6337,3,0,"2024/11/20 8:27 AM","2024-11-20","2024-11-20 11:27:00 UTC","Santiago",NA,30615,"","obscured","true",NA,NA,91922,"","2024-12-09 22:49:34 UTC","2025-05-16 14:14:54 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-11-20 08:23:00 -0300","","Arica, CL-AP, CL",-18.9980936247,-70.0452387131,"","Chilean Woodstar","https://www.inaturalist.org/observations/254665138","https://inaturalist-open-data.s3.amazonaws.com/photos/456200166/medium.jpg","avocat",254665138,"Chilean Woodstar","Aves",6337,1,0,"2024/11/20 8:23 AM","2024-11-20","2024-11-20 11:23:00 UTC","Santiago",NA,30615,"","obscured","true",NA,NA,91922,"","2024-12-09 22:49:33 UTC","2025-12-23 16:38:02 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-12-01 10:57:00 -0300","","Chile",-18.4039138435,-70.2657943889,"","Chilean Woodstar","https://www.inaturalist.org/observations/254475307","https://inaturalist-open-data.s3.amazonaws.com/photos/455820817/medium.jpeg","pablo_zamora",254475307,"Picaflor de Arica","Aves",6337,3,0,"2024/12/01 10:57 AM","2024-12-01","2024-12-01 13:57:00 UTC","Santiago",8876,30649,"","obscured","true",NA,NA,5951765,"","2024-12-08 04:40:28 UTC","2025-05-16 14:15:01 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-12-01 10:36:00 -0300","","Chile",-18.419012772,-70.2100393123,"","Chilean Woodstar","https://www.inaturalist.org/observations/254475306","https://inaturalist-open-data.s3.amazonaws.com/photos/455820831/medium.jpeg","pablo_zamora",254475306,"Picaflor de Arica","Aves",6337,2,0,"2024/12/01 10:36 AM","2024-12-01","2024-12-01 13:36:00 UTC","Santiago",8876,30649,"","obscured","true",NA,NA,5951765,"","2024-12-08 04:40:28 UTC","2025-05-16 14:15:08 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2022-04-10 09:28:00 -0400","","Chile",-18.8691137089,-70.0554631834,"","Chilean Woodstar","https://www.inaturalist.org/observations/223325443","https://inaturalist-open-data.s3.amazonaws.com/photos/395689416/medium.jpg","tama_cat",223325443,"Picaflor de Arica","Aves",6337,2,0,"2022/04/10 9:28 AM","2022-04-10","2022-04-10 13:28:00 UTC","Santiago",2020,30615,"","obscured","true",NA,NA,5703466,"Tamara Catalán Bermudez","2024-06-17 12:59:22 UTC","2024-06-18 14:05:45 UTC","research","CC-BY-NC",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-02-19 16:56:00 -0300","","Chile",-19.1672103027,-70.1795022015,"","Chilean Woodstar","https://www.inaturalist.org/observations/202548895","https://inaturalist-open-data.s3.amazonaws.com/photos/357740717/medium.jpg","thibaudaronson",202548895,"Chilean Woodstar","Aves",6337,3,0,"2024/02/19 4:56 PM","2024-02-19","2024-02-19 19:56:00 UTC","Santiago",8,30598,"","obscured","true",NA,NA,645653,"Thibaud Aronson","2024-03-15 17:35:14 UTC","2024-05-20 14:27:28 UTC","research","CC-BY-SA",NA,NA,"false","Eulidia yarrellii"
"Eulidia yarrellii","2024-02-26 12:50:40 -0300","","Arica, CL-AP, CL",-18.8188411341,-70.1065139485,"","Chilean Woodstar","https://www.inaturalist.org/observations/200549973","https://inaturalist-open-data.s3.amazonaws.com/photos/353857419/medium.jpg","allan7",200549973,"Chilean Woodstar","Aves",6337,4,0,"2024-02-26 10:50:40-05:00","2024-02-26","2024-02-26 15:50:40 UTC","Santiago",2544,30615,"obscured","obscured","true",NA,NA,264097,"Allan Harris","2024-02-26 20:51:16 UTC","2025-05-06 02:54:42 UTC","research","CC0",NA,3,"false","Eulidia yarrellii"
